# k = 1.000
# t, v0, x0, v1, x1
0.000, 1.000, 0.000, 0.000, -1.000
0.100, 1.000, 0.100, 0.000, -1.000
0.200, 1.000, 0.200, 0.100, -0.990
0.300, 1.000, 0.300, 0.190, -0.971
0.400, 1.000, 0.400, 0.271, -0.944
0.500, 1.000, 0.500, 0.344, -0.910
0.600, 1.000, 0.600, 0.410, -0.869
0.700, 1.000, 0.700, 0.469, -0.822
0.800, 1.000, 0.800, 0.522, -0.770
0.900, 1.000, 0.900, 0.570, -0.713
1.000, 1.000, 1.000, 0.613, -0.651
1.100, 1.000, 1.100, 0.651, -0.586
1.200, 1.000, 1.200, 0.686, -0.518
1.300, 1.000, 1.300, 0.718, -0.446
1.400, 1.000, 1.400, 0.746, -0.371
1.500, 1.000, 1.500, 0.771, -0.294
1.600, 1.000, 1.600, 0.794, -0.215
1.700, 1.000, 1.700, 0.815, -0.133
1.800, 1.000, 1.800, 0.833, -0.050
1.900, 1.000, 1.900, 0.850, 0.035
2.000, 1.000, 2.000, 0.865, 0.122
2.100, 1.000, 2.100, 0.878, 0.209
2.200, 1.000, 2.200, 0.891, 0.298
2.300, 1.000, 2.300, 0.902, 0.389
2.400, 1.000, 2.400, 0.911, 0.480
2.500, 1.000, 2.500, 0.920, 0.572
2.600, 1.000, 2.600, 0.928, 0.665
2.700, 1.000, 2.700, 0.935, 0.758
2.800, 1.000, 2.800, 0.942, 0.852
2.900, 1.000, 2.900, 0.948, 0.947
3.000, 1.000, 3.000, 0.953, 1.042
3.100, 1.000, 3.100, 0.958, 1.138
3.200, 1.000, 3.200, 0.962, 1.234
3.300, 1.000, 3.300, 0.966, 1.331
3.400, 1.000, 3.400, 0.969, 1.428
3.500, 1.000, 3.500, 0.972, 1.525
3.600, 1.000, 3.600, 0.975, 1.623
3.700, 1.000, 3.700, 0.977, 1.720
3.800, 1.000, 3.800, 0.980, 1.818
3.900, 1.000, 3.900, 0.982, 1.916
4.000, 1.000, 4.000, 0.984, 2.015
4.100, 1.000, 4.100, 0.985, 2.113
4.200, 1.000, 4.200, 0.987, 2.212
4.300, 1.000, 4.300, 0.988, 2.311
4.400, 1.000, 4.400, 0.989, 2.410
4.500, 1.000, 4.500, 0.990, 2.509
4.600, 1.000, 4.600, 0.991, 2.608
4.700, 1.000, 4.700, 0.992, 2.707
4.800, 1.000, 4.800, 0.993, 2.806
4.900, 1.000, 4.900, 0.994, 2.906
5.000, 1.000, 5.000, 0.994, 3.005
5.100, 1.000, 5.100, 0.995, 3.105
5.200, 1.000, 5.200, 0.995, 3.204
5.300, 1.000, 5.300, 0.996, 3.304
5.400, 1.000, 5.400, 0.996, 3.403
5.500, 1.000, 5.500, 0.997, 3.503
5.600, 1.000, 5.600, 0.997, 3.603
5.700, 1.000, 5.700, 0.997, 3.702
5.800, 1.000, 5.800, 0.998, 3.802
5.900, 1.000, 5.900, 0.998, 3.902
6.000, 1.000, 6.000, 0.998, 4.002
6.100, 1.000, 6.100, 0.998, 4.102
6.200, 1.000, 6.200, 0.998, 4.201
6.300, 1.000, 6.300, 0.999, 4.301
6.400, 1.000, 6.400, 0.999, 4.401
6.500, 1.000, 6.500, 0.999, 4.501
6.600, 1.000, 6.600, 0.999, 4.601
6.700, 1.000, 6.700, 0.999, 4.701
6.800, 1.000, 6.800, 0.999, 4.801
6.900, 1.000, 6.900, 0.999, 4.901
7.000, 1.000, 7.000, 0.999, 5.001
7.100, 1.000, 7.100, 0.999, 5.101
7.200, 1.000, 7.200, 0.999, 5.201
7.300, 1.000, 7.300, 0.999, 5.300
7.400, 1.000, 7.400, 1.000, 5.400
7.500, 1.000, 7.500, 1.000, 5.500
7.600, 1.000, 7.600, 1.000, 5.600
7.700, 1.000, 7.700, 1.000, 5.700
7.800, 1.000, 7.800, 1.000, 5.800
7.900, 1.000, 7.900, 1.000, 5.900
8.000, 1.000, 8.000, 1.000, 6.000
8.100, 1.000, 8.100, 1.000, 6.100
8.200, 1.000, 8.200, 1.000, 6.200
8.300, 1.000, 8.300, 1.000, 6.300
8.400, 1.000, 8.400, 1.000, 6.400
8.500, 1.000, 8.500, 1.000, 6.500
8.600, 1.000, 8.600, 1.000, 6.600
8.700, 1.000, 8.700, 1.000, 6.700
8.800, 1.000, 8.800, 1.000, 6.800
8.900, 1.000, 8.900, 1.000, 6.900
9.000, 1.000, 9.000, 1.000, 7.000
9.100, 1.000, 9.100, 1.000, 7.100
9.200, 1.000, 9.200, 1.000, 7.200
9.300, 1.000, 9.300, 1.000, 7.300
9.400, 1.000, 9.400, 1.000, 7.400
9.500, 1.000, 9.500, 1.000, 7.500
9.600, 1.000, 9.600, 1.000, 7.600
9.700, 1.000, 9.700, 1.000, 7.700
9.800, 1.000, 9.800, 1.000, 7.800
9.900, 1.000, 9.900, 1.000, 7.900
10.000, 1.000, 10.000, 1.000, 8.000
