# k = 10
# t     v0      x0      v1      x1
0.000	1.000	0.000	0.000	-1.000	
0.100	1.000	0.100	0.000	-1.000	
0.200	1.000	0.200	1.000	-1.000	
0.300	1.000	0.300	2.000	-0.900	
0.400	1.000	0.400	2.000	-0.700	
0.500	1.000	0.500	1.000	-0.500	
0.600	1.000	0.600	0.000	-0.400	
0.700	1.000	0.700	-0.000	-0.400	
0.800	1.000	0.800	1.000	-0.400	
0.900	1.000	0.900	2.000	-0.300	
1.000	1.000	1.000	2.000	-0.100	
1.100	1.000	1.100	1.000	0.100	
1.200	1.000	1.200	-0.000	0.200	
1.300	1.000	1.300	-0.000	0.200	
1.400	1.000	1.400	1.000	0.200	
1.500	1.000	1.500	2.000	0.300	
1.600	1.000	1.600	2.000	0.500	
1.700	1.000	1.700	1.000	0.700	
1.800	1.000	1.800	0.000	0.800	
1.900	1.000	1.900	0.000	0.800	
2.000	1.000	2.000	1.000	0.800	
2.100	1.000	2.100	2.000	0.900	
2.200	1.000	2.200	2.000	1.100	
2.300	1.000	2.300	1.000	1.300	
2.400	1.000	2.400	0.000	1.400	
2.500	1.000	2.500	0.000	1.400	
2.600	1.000	2.600	1.000	1.400	
2.700	1.000	2.700	2.000	1.500	
2.800	1.000	2.800	2.000	1.700	
2.900	1.000	2.900	1.000	1.900	
3.000	1.000	3.000	0.000	2.000	
3.100	1.000	3.100	0.000	2.000	
3.200	1.000	3.200	1.000	2.000	
3.300	1.000	3.300	2.000	2.100	
3.400	1.000	3.400	2.000	2.300	
3.500	1.000	3.500	1.000	2.500	
3.600	1.000	3.600	0.000	2.600	
3.700	1.000	3.700	0.000	2.600	
3.800	1.000	3.800	1.000	2.600	
3.900	1.000	3.900	2.000	2.700	
4.000	1.000	4.000	2.000	2.900	
4.100	1.000	4.100	1.000	3.100	
4.200	1.000	4.200	-0.000	3.200	
4.300	1.000	4.300	-0.000	3.200	
4.400	1.000	4.400	1.000	3.200	
4.500	1.000	4.500	2.000	3.300	
4.600	1.000	4.600	2.000	3.500	
4.700	1.000	4.700	1.000	3.700	
4.800	1.000	4.800	-0.000	3.800	
4.900	1.000	4.900	-0.000	3.800	
5.000	1.000	5.000	1.000	3.800	
5.100	1.000	5.100	2.000	3.900	
5.200	1.000	5.200	2.000	4.100	
5.300	1.000	5.300	1.000	4.300	
5.400	1.000	5.400	-0.000	4.400	
5.500	1.000	5.500	-0.000	4.400	
5.600	1.000	5.600	1.000	4.400	
5.700	1.000	5.700	2.000	4.500	
5.800	1.000	5.800	2.000	4.700	
5.900	1.000	5.900	1.000	4.900	
6.000	1.000	6.000	-0.000	5.000	
6.100	1.000	6.100	-0.000	5.000	
6.200	1.000	6.200	1.000	5.000	
6.300	1.000	6.300	2.000	5.100	
6.400	1.000	6.400	2.000	5.300	
6.500	1.000	6.500	1.000	5.500	
6.600	1.000	6.600	-0.000	5.600	
6.700	1.000	6.700	-0.000	5.600	
6.800	1.000	6.800	1.000	5.600	
6.900	1.000	6.900	2.000	5.700	
7.000	1.000	7.000	2.000	5.900	
7.100	1.000	7.100	1.000	6.100	
7.200	1.000	7.200	-0.000	6.200	
7.300	1.000	7.300	-0.000	6.200	
7.400	1.000	7.400	1.000	6.200	
7.500	1.000	7.500	2.000	6.300	
7.600	1.000	7.600	2.000	6.500	
7.700	1.000	7.700	1.000	6.700	
7.800	1.000	7.800	-0.000	6.800	
7.900	1.000	7.900	-0.000	6.800	
8.000	1.000	8.000	1.000	6.800	
8.100	1.000	8.100	2.000	6.900	
8.200	1.000	8.200	2.000	7.100	
8.300	1.000	8.300	1.000	7.300	
8.400	1.000	8.400	-0.000	7.400	
8.500	1.000	8.500	-0.000	7.400	
8.600	1.000	8.600	1.000	7.400	
8.700	1.000	8.700	2.000	7.500	
8.800	1.000	8.800	2.000	7.700	
8.900	1.000	8.900	1.000	7.900	
9.000	1.000	9.000	-0.000	8.000	
9.100	1.000	9.100	-0.000	8.000	
9.200	1.000	9.200	1.000	8.000	
9.300	1.000	9.300	2.000	8.100	
9.400	1.000	9.400	2.000	8.300	
9.500	1.000	9.500	1.000	8.500	
9.600	1.000	9.600	0.000	8.600	
9.700	1.000	9.700	0.000	8.600	
9.800	1.000	9.800	1.000	8.600	
9.900	1.000	9.900	2.000	8.700	
10.000	1.000	10.000	2.000	8.900	
