# k = 10.000
# t, v0, x0, v1, x1, v2, x2
0.000, 1.000, 0.000, 0.000, -1.000, 0.000, -2.000
0.100, 1.000, 0.100, 0.000, -1.000, 0.000, -2.000
0.200, 1.000, 0.200, 1.000, -0.900, 0.000, -2.000
0.300, 1.000, 0.300, 1.000, -0.800, 1.000, -1.900
0.400, 1.000, 0.400, 1.000, -0.700, 1.000, -1.800
0.500, 1.000, 0.500, 1.000, -0.600, 1.000, -1.700
0.600, 1.000, 0.600, 1.000, -0.500, 1.000, -1.600
0.700, 1.000, 0.700, 1.000, -0.400, 1.000, -1.500
0.800, 1.000, 0.800, 1.000, -0.300, 1.000, -1.400
0.900, 1.000, 0.900, 1.000, -0.200, 1.000, -1.300
1.000, 1.000, 1.000, 1.000, -0.100, 1.000, -1.200
1.100, 1.000, 1.100, 1.000, 0.000, 1.000, -1.100
1.200, 1.000, 1.200, 1.000, 0.100, 1.000, -1.000
1.300, 1.000, 1.300, 1.000, 0.200, 1.000, -0.900
1.400, 1.000, 1.400, 1.000, 0.300, 1.000, -0.800
1.500, 1.000, 1.500, 1.000, 0.400, 1.000, -0.700
1.600, 1.000, 1.600, 1.000, 0.500, 1.000, -0.600
1.700, 1.000, 1.700, 1.000, 0.600, 1.000, -0.500
1.800, 1.000, 1.800, 1.000, 0.700, 1.000, -0.400
1.900, 1.000, 1.900, 1.000, 0.800, 1.000, -0.300
2.000, 1.000, 2.000, 1.000, 0.900, 1.000, -0.200
2.100, 1.000, 2.100, 1.000, 1.000, 1.000, -0.100
2.200, 1.000, 2.200, 1.000, 1.100, 1.000, 0.000
2.300, 1.000, 2.300, 1.000, 1.200, 1.000, 0.100
2.400, 1.000, 2.400, 1.000, 1.300, 1.000, 0.200
2.500, 1.000, 2.500, 1.000, 1.400, 1.000, 0.300
2.600, 1.000, 2.600, 1.000, 1.500, 1.000, 0.400
2.700, 1.000, 2.700, 1.000, 1.600, 1.000, 0.500
2.800, 1.000, 2.800, 1.000, 1.700, 1.000, 0.600
2.900, 1.000, 2.900, 1.000, 1.800, 1.000, 0.700
3.000, 1.000, 3.000, 1.000, 1.900, 1.000, 0.800
3.100, 1.000, 3.100, 1.000, 2.000, 1.000, 0.900
3.200, 1.000, 3.200, 1.000, 2.100, 1.000, 1.000
3.300, 1.000, 3.300, 1.000, 2.200, 1.000, 1.100
3.400, 1.000, 3.400, 1.000, 2.300, 1.000, 1.200
3.500, 1.000, 3.500, 1.000, 2.400, 1.000, 1.300
3.600, 1.000, 3.600, 1.000, 2.500, 1.000, 1.400
3.700, 1.000, 3.700, 1.000, 2.600, 1.000, 1.500
3.800, 1.000, 3.800, 1.000, 2.700, 1.000, 1.600
3.900, 1.000, 3.900, 1.000, 2.800, 1.000, 1.700
4.000, 1.000, 4.000, 1.000, 2.900, 1.000, 1.800
4.100, 1.000, 4.100, 1.000, 3.000, 1.000, 1.900
4.200, 1.000, 4.200, 1.000, 3.100, 1.000, 2.000
4.300, 1.000, 4.300, 1.000, 3.200, 1.000, 2.100
4.400, 1.000, 4.400, 1.000, 3.300, 1.000, 2.200
4.500, 1.000, 4.500, 1.000, 3.400, 1.000, 2.300
4.600, 1.000, 4.600, 1.000, 3.500, 1.000, 2.400
4.700, 1.000, 4.700, 1.000, 3.600, 1.000, 2.500
4.800, 1.000, 4.800, 1.000, 3.700, 1.000, 2.600
4.900, 1.000, 4.900, 1.000, 3.800, 1.000, 2.700
5.000, 1.000, 5.000, 1.000, 3.900, 1.000, 2.800
5.100, 1.000, 5.100, 1.000, 4.000, 1.000, 2.900
5.200, 1.000, 5.200, 1.000, 4.100, 1.000, 3.000
5.300, 1.000, 5.300, 1.000, 4.200, 1.000, 3.100
5.400, 1.000, 5.400, 1.000, 4.300, 1.000, 3.200
5.500, 1.000, 5.500, 1.000, 4.400, 1.000, 3.300
5.600, 1.000, 5.600, 1.000, 4.500, 1.000, 3.400
5.700, 1.000, 5.700, 1.000, 4.600, 1.000, 3.500
5.800, 1.000, 5.800, 1.000, 4.700, 1.000, 3.600
5.900, 1.000, 5.900, 1.000, 4.800, 1.000, 3.700
6.000, 1.000, 6.000, 1.000, 4.900, 1.000, 3.800
6.100, 1.000, 6.100, 1.000, 5.000, 1.000, 3.900
6.200, 1.000, 6.200, 1.000, 5.100, 1.000, 4.000
6.300, 1.000, 6.300, 1.000, 5.200, 1.000, 4.100
6.400, 1.000, 6.400, 1.000, 5.300, 1.000, 4.200
6.500, 1.000, 6.500, 1.000, 5.400, 1.000, 4.300
6.600, 1.000, 6.600, 1.000, 5.500, 1.000, 4.400
6.700, 1.000, 6.700, 1.000, 5.600, 1.000, 4.500
6.800, 1.000, 6.800, 1.000, 5.700, 1.000, 4.600
6.900, 1.000, 6.900, 1.000, 5.800, 1.000, 4.700
7.000, 1.000, 7.000, 1.000, 5.900, 1.000, 4.800
7.100, 1.000, 7.100, 1.000, 6.000, 1.000, 4.900
7.200, 1.000, 7.200, 1.000, 6.100, 1.000, 5.000
7.300, 1.000, 7.300, 1.000, 6.200, 1.000, 5.100
7.400, 1.000, 7.400, 1.000, 6.300, 1.000, 5.200
7.500, 1.000, 7.500, 1.000, 6.400, 1.000, 5.300
7.600, 1.000, 7.600, 1.000, 6.500, 1.000, 5.400
7.700, 1.000, 7.700, 1.000, 6.600, 1.000, 5.500
7.800, 1.000, 7.800, 1.000, 6.700, 1.000, 5.600
7.900, 1.000, 7.900, 1.000, 6.800, 1.000, 5.700
8.000, 1.000, 8.000, 1.000, 6.900, 1.000, 5.800
8.100, 1.000, 8.100, 1.000, 7.000, 1.000, 5.900
8.200, 1.000, 8.200, 1.000, 7.100, 1.000, 6.000
8.300, 1.000, 8.300, 1.000, 7.200, 1.000, 6.100
8.400, 1.000, 8.400, 1.000, 7.300, 1.000, 6.200
8.500, 1.000, 8.500, 1.000, 7.400, 1.000, 6.300
8.600, 1.000, 8.600, 1.000, 7.500, 1.000, 6.400
8.700, 1.000, 8.700, 1.000, 7.600, 1.000, 6.500
8.800, 1.000, 8.800, 1.000, 7.700, 1.000, 6.600
8.900, 1.000, 8.900, 1.000, 7.800, 1.000, 6.700
9.000, 1.000, 9.000, 1.000, 7.900, 1.000, 6.800
9.100, 1.000, 9.100, 1.000, 8.000, 1.000, 6.900
9.200, 1.000, 9.200, 1.000, 8.100, 1.000, 7.000
9.300, 1.000, 9.300, 1.000, 8.200, 1.000, 7.100
9.400, 1.000, 9.400, 1.000, 8.300, 1.000, 7.200
9.500, 1.000, 9.500, 1.000, 8.400, 1.000, 7.300
9.600, 1.000, 9.600, 1.000, 8.500, 1.000, 7.400
9.700, 1.000, 9.700, 1.000, 8.600, 1.000, 7.500
9.800, 1.000, 9.800, 1.000, 8.700, 1.000, 7.600
9.900, 1.000, 9.900, 1.000, 8.800, 1.000, 7.700
10.000, 1.000, 10.000, 1.000, 8.900, 1.000, 7.800
