# k = 20.000
# t, v0, x0, v1, x1, v2, x2
0.000, 1.000, 0.000, 0.000, -1.000, 0.000, -2.000
0.100, 1.000, 0.100, 0.000, -1.000, 0.000, -2.000
0.200, 1.000, 0.200, 2.000, -0.800, 0.000, -2.000
0.300, 1.000, 0.300, -0.000, -0.800, 4.000, -1.600
0.400, 1.000, 0.400, 2.000, -0.600, -4.000, -2.000
0.500, 1.000, 0.500, -0.000, -0.600, 8.000, -1.200
0.600, 1.000, 0.600, 2.000, -0.400, -8.000, -2.000
0.700, 1.000, 0.700, -0.000, -0.400, 12.000, -0.800
0.800, 1.000, 0.800, 2.000, -0.200, -12.000, -2.000
0.900, 1.000, 0.900, -0.000, -0.200, 16.000, -0.400
1.000, 1.000, 1.000, 2.000, 0.000, -16.000, -2.000
1.100, 1.000, 1.100, -0.000, -0.000, 20.000, 0.000
1.200, 1.000, 1.200, 2.000, 0.200, -20.000, -2.000
1.300, 1.000, 1.300, -0.000, 0.200, 24.000, 0.400
1.400, 1.000, 1.400, 2.000, 0.400, -24.000, -2.000
1.500, 1.000, 1.500, -0.000, 0.400, 28.000, 0.800
1.600, 1.000, 1.600, 2.000, 0.600, -28.000, -2.000
1.700, 1.000, 1.700, -0.000, 0.600, 32.000, 1.200
1.800, 1.000, 1.800, 2.000, 0.800, -32.000, -2.000
1.900, 1.000, 1.900, -0.000, 0.800, 36.000, 1.600
2.000, 1.000, 2.000, 2.000, 1.000, -36.000, -2.000
2.100, 1.000, 2.100, -0.000, 1.000, 40.000, 2.000
2.200, 1.000, 2.200, 2.000, 1.200, -40.000, -2.000
2.300, 1.000, 2.300, -0.000, 1.200, 44.000, 2.400
2.400, 1.000, 2.400, 2.000, 1.400, -44.000, -2.000
2.500, 1.000, 2.500, -0.000, 1.400, 48.000, 2.800
2.600, 1.000, 2.600, 2.000, 1.600, -48.000, -2.000
2.700, 1.000, 2.700, -0.000, 1.600, 52.000, 3.200
2.800, 1.000, 2.800, 2.000, 1.800, -52.000, -2.000
2.900, 1.000, 2.900, -0.000, 1.800, 56.000, 3.600
3.000, 1.000, 3.000, 2.000, 2.000, -56.000, -2.000
3.100, 1.000, 3.100, -0.000, 2.000, 60.000, 4.000
3.200, 1.000, 3.200, 2.000, 2.200, -60.000, -2.000
3.300, 1.000, 3.300, -0.000, 2.200, 64.000, 4.400
3.400, 1.000, 3.400, 2.000, 2.400, -64.000, -2.000
3.500, 1.000, 3.500, -0.000, 2.400, 68.000, 4.800
3.600, 1.000, 3.600, 2.000, 2.600, -68.000, -2.000
3.700, 1.000, 3.700, -0.000, 2.600, 72.000, 5.200
3.800, 1.000, 3.800, 2.000, 2.800, -72.000, -2.000
3.900, 1.000, 3.900, -0.000, 2.800, 76.000, 5.600
4.000, 1.000, 4.000, 2.000, 3.000, -76.000, -2.000
4.100, 1.000, 4.100, -0.000, 3.000, 80.000, 6.000
4.200, 1.000, 4.200, 2.000, 3.200, -80.000, -2.000
4.300, 1.000, 4.300, -0.000, 3.200, 84.000, 6.400
4.400, 1.000, 4.400, 2.000, 3.400, -84.000, -2.000
4.500, 1.000, 4.500, -0.000, 3.400, 88.000, 6.800
4.600, 1.000, 4.600, 2.000, 3.600, -88.000, -2.000
4.700, 1.000, 4.700, -0.000, 3.600, 92.000, 7.200
4.800, 1.000, 4.800, 2.000, 3.800, -92.000, -2.000
4.900, 1.000, 4.900, -0.000, 3.800, 96.000, 7.600
5.000, 1.000, 5.000, 2.000, 4.000, -96.000, -2.000
5.100, 1.000, 5.100, -0.000, 4.000, 100.000, 8.000
5.200, 1.000, 5.200, 2.000, 4.200, -100.000, -2.000
5.300, 1.000, 5.300, -0.000, 4.200, 104.000, 8.400
5.400, 1.000, 5.400, 2.000, 4.400, -104.000, -2.000
5.500, 1.000, 5.500, -0.000, 4.400, 108.000, 8.800
5.600, 1.000, 5.600, 2.000, 4.600, -108.000, -2.000
5.700, 1.000, 5.700, -0.000, 4.600, 112.000, 9.200
5.800, 1.000, 5.800, 2.000, 4.800, -112.000, -2.000
5.900, 1.000, 5.900, -0.000, 4.800, 116.000, 9.600
6.000, 1.000, 6.000, 2.000, 5.000, -116.000, -2.000
6.100, 1.000, 6.100, -0.000, 5.000, 120.000, 10.000
6.200, 1.000, 6.200, 2.000, 5.200, -120.000, -2.000
6.300, 1.000, 6.300, -0.000, 5.200, 124.000, 10.400
6.400, 1.000, 6.400, 2.000, 5.400, -124.000, -2.000
6.500, 1.000, 6.500, -0.000, 5.400, 128.000, 10.800
6.600, 1.000, 6.600, 2.000, 5.600, -128.000, -2.000
6.700, 1.000, 6.700, -0.000, 5.600, 132.000, 11.200
6.800, 1.000, 6.800, 2.000, 5.800, -132.000, -2.000
6.900, 1.000, 6.900, -0.000, 5.800, 136.000, 11.600
7.000, 1.000, 7.000, 2.000, 6.000, -136.000, -2.000
7.100, 1.000, 7.100, -0.000, 6.000, 140.000, 12.000
7.200, 1.000, 7.200, 2.000, 6.200, -140.000, -2.000
7.300, 1.000, 7.300, -0.000, 6.200, 144.000, 12.400
7.400, 1.000, 7.400, 2.000, 6.400, -144.000, -2.000
7.500, 1.000, 7.500, -0.000, 6.400, 148.000, 12.800
7.600, 1.000, 7.600, 2.000, 6.600, -148.000, -2.000
7.700, 1.000, 7.700, -0.000, 6.600, 152.000, 13.200
7.800, 1.000, 7.800, 2.000, 6.800, -152.000, -2.000
7.900, 1.000, 7.900, -0.000, 6.800, 156.000, 13.600
8.000, 1.000, 8.000, 2.000, 7.000, -156.000, -2.000
8.100, 1.000, 8.100, -0.000, 7.000, 160.000, 14.000
8.200, 1.000, 8.200, 2.000, 7.200, -160.000, -2.000
8.300, 1.000, 8.300, -0.000, 7.200, 164.000, 14.400
8.400, 1.000, 8.400, 2.000, 7.400, -164.000, -2.000
8.500, 1.000, 8.500, -0.000, 7.400, 168.000, 14.800
8.600, 1.000, 8.600, 2.000, 7.600, -168.000, -2.000
8.700, 1.000, 8.700, -0.000, 7.600, 172.000, 15.200
8.800, 1.000, 8.800, 2.000, 7.800, -172.000, -2.000
8.900, 1.000, 8.900, -0.000, 7.800, 176.000, 15.600
9.000, 1.000, 9.000, 2.000, 8.000, -176.000, -2.000
9.100, 1.000, 9.100, -0.000, 8.000, 180.000, 16.000
9.200, 1.000, 9.200, 2.000, 8.200, -180.000, -2.000
9.300, 1.000, 9.300, -0.000, 8.200, 184.000, 16.400
9.400, 1.000, 9.400, 2.000, 8.400, -184.000, -2.000
9.500, 1.000, 9.500, -0.000, 8.400, 188.000, 16.800
9.600, 1.000, 9.600, 2.000, 8.600, -188.000, -2.000
9.700, 1.000, 9.700, -0.000, 8.600, 192.000, 17.200
9.800, 1.000, 9.800, 2.000, 8.800, -192.000, -2.000
9.900, 1.000, 9.900, -0.000, 8.800, 196.000, 17.600
10.000, 1.000, 10.000, 2.000, 9.000, -196.000, -2.000
