# k = 1.000
# t, v0, x0, v1, x1, v2, x2
0.000, 1.000, 0.000, 0.000, -1.000, 0.000, -2.000
0.100, 1.000, 0.100, 0.000, -1.000, 0.000, -2.000
0.200, 1.000, 0.200, 0.100, -0.990, 0.000, -2.000
0.300, 1.000, 0.300, 0.190, -0.971, 0.010, -1.999
0.400, 1.000, 0.400, 0.271, -0.944, 0.028, -1.996
0.500, 1.000, 0.500, 0.344, -0.910, 0.052, -1.991
0.600, 1.000, 0.600, 0.410, -0.869, 0.081, -1.983
0.700, 1.000, 0.700, 0.469, -0.822, 0.114, -1.971
0.800, 1.000, 0.800, 0.522, -0.770, 0.150, -1.956
0.900, 1.000, 0.900, 0.570, -0.713, 0.187, -1.938
1.000, 1.000, 1.000, 0.613, -0.651, 0.225, -1.915
1.100, 1.000, 1.100, 0.651, -0.586, 0.264, -1.889
1.200, 1.000, 1.200, 0.686, -0.518, 0.303, -1.859
1.300, 1.000, 1.300, 0.718, -0.446, 0.341, -1.824
1.400, 1.000, 1.400, 0.746, -0.371, 0.379, -1.787
1.500, 1.000, 1.500, 0.771, -0.294, 0.415, -1.745
1.600, 1.000, 1.600, 0.794, -0.215, 0.451, -1.700
1.700, 1.000, 1.700, 0.815, -0.133, 0.485, -1.651
1.800, 1.000, 1.800, 0.833, -0.050, 0.518, -1.600
1.900, 1.000, 1.900, 0.850, 0.035, 0.550, -1.545
2.000, 1.000, 2.000, 0.865, 0.122, 0.580, -1.487
2.100, 1.000, 2.100, 0.878, 0.209, 0.608, -1.426
2.200, 1.000, 2.200, 0.891, 0.298, 0.635, -1.362
2.300, 1.000, 2.300, 0.902, 0.389, 0.661, -1.296
2.400, 1.000, 2.400, 0.911, 0.480, 0.685, -1.228
2.500, 1.000, 2.500, 0.920, 0.572, 0.708, -1.157
2.600, 1.000, 2.600, 0.928, 0.665, 0.729, -1.084
2.700, 1.000, 2.700, 0.935, 0.758, 0.749, -1.009
2.800, 1.000, 2.800, 0.942, 0.852, 0.767, -0.933
2.900, 1.000, 2.900, 0.948, 0.947, 0.785, -0.854
3.000, 1.000, 3.000, 0.953, 1.042, 0.801, -0.774
3.100, 1.000, 3.100, 0.958, 1.138, 0.816, -0.692
3.200, 1.000, 3.200, 0.962, 1.234, 0.830, -0.609
3.300, 1.000, 3.300, 0.966, 1.331, 0.844, -0.525
3.400, 1.000, 3.400, 0.969, 1.428, 0.856, -0.439
3.500, 1.000, 3.500, 0.972, 1.525, 0.867, -0.353
3.600, 1.000, 3.600, 0.975, 1.623, 0.878, -0.265
3.700, 1.000, 3.700, 0.977, 1.720, 0.887, -0.176
3.800, 1.000, 3.800, 0.980, 1.818, 0.896, -0.086
3.900, 1.000, 3.900, 0.982, 1.916, 0.905, 0.004
4.000, 1.000, 4.000, 0.984, 2.015, 0.912, 0.095
4.100, 1.000, 4.100, 0.985, 2.113, 0.920, 0.187
4.200, 1.000, 4.200, 0.987, 2.212, 0.926, 0.280
4.300, 1.000, 4.300, 0.988, 2.311, 0.932, 0.373
4.400, 1.000, 4.400, 0.989, 2.410, 0.938, 0.467
4.500, 1.000, 4.500, 0.990, 2.509, 0.943, 0.561
4.600, 1.000, 4.600, 0.991, 2.608, 0.948, 0.656
4.700, 1.000, 4.700, 0.992, 2.707, 0.952, 0.751
4.800, 1.000, 4.800, 0.993, 2.806, 0.956, 0.847
4.900, 1.000, 4.900, 0.994, 2.906, 0.960, 0.943
5.000, 1.000, 5.000, 0.994, 3.005, 0.963, 1.039
5.100, 1.000, 5.100, 0.995, 3.105, 0.966, 1.136
5.200, 1.000, 5.200, 0.995, 3.204, 0.969, 1.232
5.300, 1.000, 5.300, 0.996, 3.304, 0.972, 1.330
5.400, 1.000, 5.400, 0.996, 3.403, 0.974, 1.427
5.500, 1.000, 5.500, 0.997, 3.503, 0.976, 1.525
5.600, 1.000, 5.600, 0.997, 3.603, 0.978, 1.623
5.700, 1.000, 5.700, 0.997, 3.702, 0.980, 1.721
5.800, 1.000, 5.800, 0.998, 3.802, 0.982, 1.819
5.900, 1.000, 5.900, 0.998, 3.902, 0.983, 1.917
6.000, 1.000, 6.000, 0.998, 4.002, 0.985, 2.016
6.100, 1.000, 6.100, 0.998, 4.102, 0.986, 2.114
6.200, 1.000, 6.200, 0.998, 4.201, 0.987, 2.213
6.300, 1.000, 6.300, 0.999, 4.301, 0.989, 2.312
6.400, 1.000, 6.400, 0.999, 4.401, 0.990, 2.411
6.500, 1.000, 6.500, 0.999, 4.501, 0.990, 2.510
6.600, 1.000, 6.600, 0.999, 4.601, 0.991, 2.609
6.700, 1.000, 6.700, 0.999, 4.701, 0.992, 2.708
6.800, 1.000, 6.800, 0.999, 4.801, 0.993, 2.807
6.900, 1.000, 6.900, 0.999, 4.901, 0.993, 2.907
7.000, 1.000, 7.000, 0.999, 5.001, 0.994, 3.006
7.100, 1.000, 7.100, 0.999, 5.101, 0.995, 3.106
7.200, 1.000, 7.200, 0.999, 5.201, 0.995, 3.205
7.300, 1.000, 7.300, 0.999, 5.300, 0.995, 3.305
7.400, 1.000, 7.400, 1.000, 5.400, 0.996, 3.404
7.500, 1.000, 7.500, 1.000, 5.500, 0.996, 3.504
7.600, 1.000, 7.600, 1.000, 5.600, 0.997, 3.603
7.700, 1.000, 7.700, 1.000, 5.700, 0.997, 3.703
7.800, 1.000, 7.800, 1.000, 5.800, 0.997, 3.803
7.900, 1.000, 7.900, 1.000, 5.900, 0.997, 3.903
8.000, 1.000, 8.000, 1.000, 6.000, 0.998, 4.002
8.100, 1.000, 8.100, 1.000, 6.100, 0.998, 4.102
8.200, 1.000, 8.200, 1.000, 6.200, 0.998, 4.202
8.300, 1.000, 8.300, 1.000, 6.300, 0.998, 4.302
8.400, 1.000, 8.400, 1.000, 6.400, 0.998, 4.402
8.500, 1.000, 8.500, 1.000, 6.500, 0.999, 4.501
8.600, 1.000, 8.600, 1.000, 6.600, 0.999, 4.601
8.700, 1.000, 8.700, 1.000, 6.700, 0.999, 4.701
8.800, 1.000, 8.800, 1.000, 6.800, 0.999, 4.801
8.900, 1.000, 8.900, 1.000, 6.900, 0.999, 4.901
9.000, 1.000, 9.000, 1.000, 7.000, 0.999, 5.001
9.100, 1.000, 9.100, 1.000, 7.100, 0.999, 5.101
9.200, 1.000, 9.200, 1.000, 7.200, 0.999, 5.201
9.300, 1.000, 9.300, 1.000, 7.300, 0.999, 5.301
9.400, 1.000, 9.400, 1.000, 7.400, 0.999, 5.401
9.500, 1.000, 9.500, 1.000, 7.500, 0.999, 5.501
9.600, 1.000, 9.600, 1.000, 7.600, 0.999, 5.601
9.700, 1.000, 9.700, 1.000, 7.700, 1.000, 5.700
9.800, 1.000, 9.800, 1.000, 7.800, 1.000, 5.800
9.900, 1.000, 9.900, 1.000, 7.900, 1.000, 5.900
10.000, 1.000, 10.000, 1.000, 8.000, 1.000, 6.000
